mlbam_id,full_name
681982,Grant Anderson
594027,Tyron Guerrero
675919,Nick Raquet
675512,Troy Melton
675448,Blake Hunt
622608,Antonio Senzatela
685744,Kenedy Corona
676596,Josh Fleming
668834,Easton Mcgee
687166,Austin Pope
554340,Yimi García
605463,Tayler Scott
683155,Joey Estes
655889,Manuel Rodríguez
805904,Zach Cole
665966,Carlos Narváez
668800,Andrew Knizner
681584,David Villar
650391,Eloy Jiménez
673540,Kodai Senga
622780,Ángel Perdomo
669004,Mj Melendez
657006,Justin Steele
665487,Fernando Tatís
669203,Corbin Burnes
622503,Nabil Crismatt
606303,Joel Payamps
663568,Stephen Kolek
571948,Hoby Milner
668670,Jake Rogers
642100,Gabe Speier
687551,Drew Gilbert
608348,Carson Kelly
690953,Mick Abel
663647,Ke'Bryan Hayes
606930,Jacob Barnes
687531,William Kempner
689225,Beau Brieske
521230,Liam Hendriks
686475,Tyler Tolbert
518585,Fernando Cruz
657612,Tim Hill
680704,Nick Sandlin
680755,Braydon Fisher
663542,Bryan Hudson
663624,Ryan Mountcastle
544150,Albert Suárez
682868,Bryan Ramos
500779,Jose Quintana
676510,Nolan Hoffman
661388,William Contreras
595453,Chad Wallach
682515,Logan Porter
642546,Jonathan Hernández
694363,Jared Shuster
516853,Wilking Rodríguez
703492,Nick Morabito
642201,Eli White
687606,Paxton Schultz
641482,Néstor Cortés
656876,Drew Rasmussen
669222,Nick Senzel
688138,Logan Evans
666214,Joey Wentz
664139,Ian Gibaut
608032,Carlos Estévez
687570,Connor Prielipp
663743,Nick Fortes
670912,Johan Oviedo
656222,Jalen Beeks
687922,Easton Lucas
669270,Joel Kuhnel
663368,Blake Perkins
592669,Hunter Renfroe
681869,Shawn Dubin
681546,James Outman
689818,David Sandlin
676050,Packy Naughton
571448,Nolan Arenado
701474,Duncan Davitt
593974,Wandy Peralta
686973,Louis Varland
656546,Jeff Hoffman
669358,Shane Baz
624133,Ranger Suarez
689546,Nick Davila
642216,Allan Winans
701519,Travis Adams
675961,Alika Williams
641401,Connor Brogdon
545121,Ildemaro Vargas
803011,Sam Antonacci
688642,Zach Agnos
688883,Peyton Pallette
663611,Nick Madrigal
668663,Tres Barrera
614173,Franchy Cordero
605218,Carl Edwards
685314,Andrew Saalfrank
663898,Brendan Rodgers
695380,Alex Hoppe
669016,Brandon Marsh
664123,Scott Effross
660710,Rodolfo Durán
681297,Colton Cowser
680869,Zack Gelof
605347,Jorge López
669145,Bruce Zimmermann
682144,Jayvien Sandridge
681393,Connor Norby
656557,Tanner Houck
682634,Kevin Alcántara
687798,Nick Robertson
686294,Amos Willingham
696270,Ryan Johnson
678489,Jorge Barrosa
592518,Manny Machado
691951,Sam Aldegheri
669200,Mason Mccoy
573262,Mike Yastrzemski
702153,Brian Fitzpatrick
691781,Brady House
669384,Raynel Delgado
660634,Yonny Hernández
699393,Pedro Ramírez
650402,Gleyber Torres
592662,Robbie Ray
695681,Christian Moore
594835,Marco Gonzales
660761,José Suarez
669369,Bryce Johnson
678894,Liover Peguero
657053,Touki Toussaint
669387,Carmen Mlodzinski
676609,José Caballero
676439,Hunter Feduccia
678554,Curtis Mead
691277,Deyvison De Los Santos
670242,Matt Wallner
683766,Christian Koss
670955,Edwin Uceta
663423,Trent Thornton
660787,Yerry De Los Santos
681151,Jayden Murray
680574,Matt Mclain
669923,George Kirby
701852,Drew Cavanaugh
607200,Erick Fedde
675659,Greg Jones
804668,Rafael Flores
682967,Devin Sweet
657376,Clarke Schmidt
519141,Drew Pomeranz
