batter,n_pitches_season,stand,avg_delta_run_exp,n_fastball,rv_fastball,xwoba_fastball,n_breaking,rv_breaking,xwoba_breaking,n_offspeed,rv_offspeed,xwoba_offspeed,avg_velo_faced,corr_velo_rv,swing_rate,whiff_rate,chase_rate,vs_rhp_rv,vs_rhp_n,vs_lhp_rv,vs_lhp_n
545121,1604,L,0.0006695979899497487,823,0.005608748481166462,0.3209044717391302,473,-0.012879492600422834,0.26150266666666666,275,0.0031745454545454603,0.3001635853658537,89.29492063492063,-0.025318164993777113,0.4912718204488778,0.1548223350253807,0.383270911360799,-0.00508780036968577,1090,0.012884313725490199,514
545341,1759,R,-0.0043038263849229,909,-0.010320132013201321,0.35646454616280654,580,0.003462068965517243,0.30956745735087227,237,-0.009375527426160334,0.3162094355088946,88.81527377521614,-0.022996562712384202,0.48891415577032404,0.21627906976744185,0.31981460023174973,-0.012347445255474451,685,0.0008649155722326464,1074
545361,4256,R,0.009442380952380956,2741,0.013590295512586649,0.39937362926823,1033,0.0005498547918683446,0.34293573235127345,384,0.00673697916666667,0.3181952084114716,90.82369179068651,0.01926943962300108,0.3825187969924812,0.2714987714987715,0.20245979186376536,0.0104178145087236,3311,0.006026795284030012,945
547180,3988,L,0.01048331648129424,1849,0.014633856138453218,0.4205251139464875,1548,0.0062493540051679584,0.32689325726227664,548,0.009324817518248178,0.3517460590949799,88.96400404448937,0.01162012304023725,0.5270812437311936,0.3073263558515699,0.3534330985915493,0.015110508757297745,2429,0.003361360718870346,1559
553869,1436,R,-0.009981894150417827,783,-0.014804597701149426,0.31454175479520285,479,-0.008885177453027145,0.19816412121212126,148,0.0080472972972973,0.3028724390694875,89.24334975369459,-0.02597408815114246,0.5362116991643454,0.3207792207792208,0.32865168539325845,-0.011787500000000001,960,-0.006340336134453787,476
553993,4104,R,0.005071882640586797,2240,0.003983928571428571,0.3361066314998185,1376,0.0032361918604651156,0.2595051386472744,442,0.011900452488687787,0.2754624312496447,89.88071815051647,-0.015607561345515658,0.489766081871345,0.34378109452736316,0.3065764023210832,0.006724067796610169,2958,0.0007964912280701742,1146
570482,780,R,-0.007751282051282052,424,-0.00781132075471698,0.2769599272516084,252,-0.014789682539682538,0.2702603504464285,73,0.010150684931506847,0.3892349411764706,89.03679999999999,0.024403979754817257,0.5564102564102564,0.30414746543778803,0.39097744360902253,-0.00488041594454073,577,-0.015911330049261083,203
571448,3143,R,-0.0019266025641025638,1689,0.0033280047365304927,0.33868719783186885,1078,-0.006872912801484228,0.25416208167292076,350,-0.01127142857142857,0.20039904210526316,89.66349053577159,0.020890162347283702,0.4718421889914095,0.2043155765340526,0.3256238587948874,-0.0022716933445661334,2384,-0.0008284182305630024,759
571657,1294,R,-0.00885548686244204,784,-0.0055051020408163264,0.3194371214227859,367,-0.006833787465940056,0.23836367716614376,139,-0.02954676258992805,0.23823424469160767,89.52357032457496,0.016704107175775685,0.4845440494590417,0.22647527910685805,0.3092436974789916,-0.015448924731182792,744,6.36363636363639e-05,550
571771,1345,R,-0.006509701492537313,641,0.000714508580343213,0.33437778551791597,523,-0.01904015296367113,0.20735315342874364,165,-0.0015757575757575717,0.27671404123426946,88.78731343283582,-0.014185931877576602,0.5107806691449814,0.31004366812227074,0.3249630723781389,-0.007870283018867925,852,-0.004164634146341464,493
571912,255,R,0.008800000000000004,141,-0.010148936170212767,0.3240727789562705,78,0.01776923076923077,0.26084356249999996,26,0.0068076923076922985,,88.00235294117647,-0.11905489520638952,0.44313725490196076,0.26548672566371684,0.24369747899159663,0.0224,150,-0.010628571428571432,105
571970,3436,L,0.011908611599297013,1604,0.02075561097256858,0.443538964482582,1245,-0.0003357429718875489,0.28807464940815664,556,0.015703237410071947,0.3144675780644148,88.76385471587582,0.04311417197486262,0.42491268917345754,0.2534246575342466,0.21601382488479262,0.015224656516895656,2713,-0.00047711511789181487,723
572191,1323,R,-0.008979514415781485,686,-0.015457725947521867,0.31891363119765614,406,-0.004204433497536946,0.22356143803030737,200,0.006025000000000005,0.2056369330890606,88.56756341275943,-0.03227570150627023,0.5124716553287982,0.37610619469026546,0.31210191082802546,-0.0132120822622108,778,-0.0028814814814814797,545
572233,4153,R,0.0016644133268952197,2375,-0.0018639999999999998,0.34216549296760307,1363,0.006761555392516507,0.26597589719513426,398,0.005673366834170849,0.2584365908427615,89.64133268952197,-0.017274381484683556,0.5136046231639778,0.3005157055789967,0.29109750353273667,0.002312538226299694,3273,-0.0007660550458715603,880
573262,3537,L,0.0014779766979255472,2098,-0.005538608198284079,0.3391527287300996,929,0.0008030139935414424,0.27465194433176976,447,0.025293064876957497,0.321173731135407,89.80795519816198,-0.03216002205248209,0.4141928187729714,0.20273037542662117,0.2337363270005757,0.005523019634394044,2972,-0.01967079646017699,565
575929,3735,R,0.013255433324389589,2059,0.01705730937348227,0.4083668686266959,1177,0.005977060322854714,0.31145829113564355,488,0.01237295081967213,0.35202612721692145,89.65089884625705,0.013608282830785868,0.48380187416331993,0.2933038184836746,0.3146997929606625,0.011843173431734317,2712,0.01701868239921337,1023
578428,1423,R,-0.007732255797610682,852,-0.010766431924882629,0.3062232565227584,410,-0.0038219512195121963,0.249145456445993,130,-0.0025999999999999973,0.2757282380952381,89.83254310344827,-0.018007563390844944,0.4532677442023893,0.17519379844961241,0.33781763826606875,-0.012185365853658536,820,-0.0016766169154228865,603
592178,214,R,-0.02476635514018691,119,-0.024294117647058817,0.2850350632763975,70,-0.02491428571428572,,25,-0.0266,,89.26635514018692,-0.04918689406044922,0.49065420560747663,0.3333333333333333,0.24528301886792453,-0.024848920863309355,139,-0.024613333333333334,75
